"","Find","id","year_behav","Group","sdb.ra","vig.ra","sex","age","rank","rank2","rc","outdeg.grm","indeg.grm","eigen.pr","betw.pr","outdeg.agg","indeg.agg","Wdeg.pr","Windeg.agg"
"1537","8O9|2017","8O9",2017,"KK",22.89,286.17,"Female",4.838356164,NA,65.5172413793103,0.491379310344828,NA,NA,0.008146366,NA,NA,NA,83.86366861,18.56381852
"1538","94H|2017","94H",2017,"KK",1.2,117.4,"Male",19.42465753,NA,93.3333333333333,0.594241355967839,NA,NA,0.028595688,NA,NA,NA,226.8775576,0
"1539","9L9|2017","9L9",2017,"KK",8.66,112.55,"Female",6.638356164,NA,5.17241379310345,0.339456618758286,3.482,3.482,0.014601425,0.007,0,0,178.2609381,209.0190578
"1540","1S8|2017","1S8",2017,"KK",11.49,181.01,"Male",3.830136986,NA,20,0.483333333333333,NA,NA,0.001310108,NA,NA,NA,25.28432521,0
"1541","37V|2017","37V",2017,"KK",18.08,173.29,"Female",13.59178082,NA,34.4827586206897,0.439335973961963,2.949,2.949,0.016121449,0.029,0,0.008,278.8441389,158.2235343
"1542","62R|2017","62R",2017,"KK",3.91,140.87,"Female",15.44931507,NA,91.3793103448276,0.761326785226628,3.674,3.674,0.020452944,0.002,0.011,0,168.2669802,35.51339196
"1543","6D6|2017","6D6",2017,"KK",27.14,170.05,"Female",10.64383562,NA,63.7931034482759,0.46613848298158,2.432,7.876,0.009709324,0.017,0,0,121.2039333,207.684608
"1544","16R|2017","16R",2017,"KK",13.41,142.39,"Male",15.52876712,NA,100,0.651465908330728,2.79,0.497,0.01305246,0.018,0.008,0,157.183368,0
"1545","1E2|2017","1E2",2017,"KK",16.03,119.35,"Female",10.66849315,NA,84.4827586206897,0.711922764680393,5.355,5.355,0.013122061,0.029,0.008,0.009,158.1649287,165.1541056
"1546","1P4|2017","1P4",2017,"KK",21.95,153.66,"Female",4.84109589,NA,12.0689655172414,0.454782133835613,NA,NA,0.007718181,NA,NA,NA,71.33550601,33.89914687
"1547","1R7|2017","1R7",2017,"KK",30.92,185.5,"Male",3.901369863,NA,NA,NA,NA,NA,0.000599362,NA,NA,NA,16.57384755,NA
"1548","2M4|2017","2M4",2017,"KK",6.03,152.68,"Male",5.701369863,NA,60,0.459448773016346,NA,NA,7.26e-05,NA,NA,NA,4.235538819,16.94957343
"1549","2O7|2017","2O7",2017,"KK",14.62,143.3,"Female",5.043835616,NA,NA,NA,NA,NA,0.000461603,NA,NA,NA,4.437231143,NA
"1550","3F7|2017","3F7",2017,"KK",17.08,141.9,"Female",9.712328767,NA,53.448275862069,0.477556615737614,0,0,0.014371124,0.026,0,0,210.737787,122.7945233
"1551","3P5|2017","3P5",2017,"KK",11.97,83.79,"Male",4.695890411,NA,NA,NA,NA,NA,0.001299694,NA,NA,NA,18.6363708,NA
"1552","4M9|2017","4M9",2017,"KK",11.88,196.04,"Female",5.736986301,NA,43.1034482758621,0.447787352154965,NA,NA,0.00952381,NA,NA,NA,0,53.23340055
"1553","4P6|2017","4P6",2017,"KK",13.61,170.13,"Female",4.687671233,NA,36.2068965517241,0.491379310344828,NA,NA,0.000828918,NA,NA,NA,20.99354023,33.89914687
"1554","4R3|2017","4R3",2017,"KK",25.49,216.64,"Male",3.832876712,NA,90,0.483333333333333,NA,NA,0.000191174,NA,NA,NA,8.471077637,18.56381852
"1555","51V|2017","51V",2017,"KK",6.88,103.25,"Female",13.63835616,NA,15.5172413793103,0.437434710527179,3.058,0.14,0.013978957,0.032,0,0.008,165.8656294,102.6054535
