"agonism_winner","agonism_loser","agonism_type","winner_sex","loser_sex","date","observer","data_source","focal_individual","timeblock"
"6L3","5J3","aggression","M","M","2018-01-24","DP","scan","agonsim.winner","AM"
"73Z","51V","aggression","F","F","2018-01-24","DP","scan","agonsim.loser","AM"
"46Z","49V","aggression","F","F","2018-01-24","DP","scan","agonsim.loser","AM"
"8H2","44V","aggression","M","M","2018-01-25","DP","scan","agonsim.winner","AM"
"6L4","8H2","aggression","M","M","2018-01-25","DP","scan","agonsim.winner","AM"
"99L","5H4","aggression","M","M","2018-01-25","DP","scan","agonsim.winner","AM"
"6C2","2F2","aggression","F","F","2018-01-25","DP","scan","agonsim.winner","AM"
"4F1","7I8","aggression","F","F","2018-01-25","DP","scan","agonsim.winner","AM"
"JF","5J3","aggression","M","M","2018-01-25","DP","scan","agonsim.loser","AM"
"30L","9L9","aggression","F","F","2018-01-25","DP","scan","agonsim.loser","AM"
