,dens,dens.w,gini,gini.w,kcomm,clust.w,dens.f,dens.f.w,gini.f,gini.f.w,kcomm.f,clust.f.w,dens.m,dens.m.w,gini.m,gini.m.w,eo.FF,eo.MM,eo.cross,eo.ck,eo.dk,eo.u,kinDegree,group,isPost,quarter,netID
1525,0.028327228,2.176486613,0.394420235,0.369907305,9,0.129673785,0.035943892,1.473708217,0.342290203,0.326580283,10,0.117244519,0.019153226,0.079805746,0.623355263,0.6375,1.277139621,0.447726237,0.893931088,13.56546169,1.346515034,0.557560495,0.229724701,groupKK,0,2,groupKK.0.2
1526,0.028083028,1.784824713,0.399378882,0.376969793,14,0.12881881,0.035067212,1.246829807,0.351836158,0.339831151,12,0.110655527,0.021169355,0.07056381,0.552083333,0.540625,1.338930996,0.433007078,0.841799553,15.15998734,0.724582813,0.522383241,0.245908812,groupKK,0,2,groupKK.0.2
1527,0.025518926,2.985705354,0.407907882,0.419993587,8,0.143874538,0.033021625,2.003304749,0.359382031,0.359471618,8,0.107330095,0.018145161,0.151209254,0.574652778,0.600000405,1.240988955,0.588037747,0.889831131,12.393684,2.36600663,0.565216231,0.210055983,groupKK,0,2,groupKK.0.2
1528,0.03003663,2.631208791,0.4119539,0.384264138,11,0.135958904,0.037697253,1.749152542,0.356983314,0.330727645,10,0.133580705,0.021169355,0.114314516,0.595238095,0.609953704,1.267703738,0.50893449,0.886402223,13.05227097,1.713310345,0.563491692,0.21332069,groupKK,0,2,groupKK.0.2
1529,0.028937729,2.50021978,0.407798952,0.376856939,10,0.145187901,0.0371128,1.729456458,0.360736688,0.33549138,8,0.151135837,0.021169355,0.122782258,0.572916667,0.58512931,1.290850867,0.55422547,0.85352666,13.39409711,1.421630901,0.561073272,0.219625322,groupKK,0,2,groupKK.0.2
1530,0.027106227,4.486080586,0.422037422,0.430463796,9,0.140189071,0.034190532,3.042957335,0.368970013,0.372500476,9,0.112251056,0.02016129,0.282258065,0.5875,0.627232143,1.287051441,0.698396842,0.81909436,12.15139192,2.046988764,0.583938894,0.19852809,groupKK,0,2,groupKK.0.2
1531,0.028937729,1.727582418,0.400148375,0.380050435,13,0.160778143,0.036820573,1.22980713,0.3708636,0.344057647,11,0.157989228,0.021169355,0.069858871,0.552083333,0.557765152,1.338985988,0.456364484,0.835613449,15.26460139,1.388431138,0.497279897,0.249823952,groupKK,0,2,groupKK.0.2
1532,0.028571429,2.445714286,0.394336433,0.36438328,10,0.140112556,0.036820573,1.752659264,0.34826473,0.309357641,10,0.125603865,0.021169355,0.114314516,0.568452381,0.606481481,1.330874441,0.520825482,0.826029869,12.72322212,1.670117647,0.576300085,0.216618487,groupKK,0,2,groupKK.0.2
1533,0.028571429,2.95,0.419742651,0.397121039,8,0.149187592,0.033313852,1.723991818,0.360095153,0.346024728,9,0.088391279,0.022177419,0.155241935,0.569602273,0.610491071,1.199566118,0.559732094,0.934806808,13.43445814,0.960115942,0.57460355,0.218131401,groupKK,0,2,groupKK.0.2
1534,0.028815629,3.544311683,0.409107841,0.409631269,9,0.13721496,0.035359439,2.26299808,0.364616893,0.359816753,9,0.104318597,0.02016129,0.194892137,0.5703125,0.594828062,1.245314119,0.648850164,0.869935308,11.5872461,1.897720406,0.608331773,0.192295161,groupKK,0,2,groupKK.0.2
